#TIME RESPONSE CND
0.4588 1 111
0.9987 1 111
0.6358 0 111
0.4797 0 111
0.7416 1 111
0.5034 1 111
0.653 1 111
0.939 1 111
0.6223 1 111
0.8809 1 111
0.5992 1 111
0.6491 1 111
0.7076 1 111
0.6232 1 111
0.9718 1 111
0.3891 1 111
0.7894 1 111
0.7139 1 111
0.7811 0 111
0.7245 0 111
0.8402 1 111
0.533 0 111
0.763 1 111
0.8703 1 111
0.7726 1 111
0.6483 1 111
0.6413 1 111
0.5985 1 111
0.6112 1 111
0.5416 1 111
0.6342 0 111
0.6359 1 111
0.7247 1 111
0.6796 1 111
0.8041 0 111
0.8573 0 111
0.8511 1 111
0.5741 1 111
0.5632 1 111
0.625 1 111
0.6125 1 111
0.6042 1 111
0.7774 0 111
0.7886 1 111
0.6809 1 111
0.8749 1 111
0.7308 1 111
0.6159 1 111
0.5773 1 111
0.4383 1 111
0.4398 1 111
0.5802 1 121
0.7362 1 121
0.9314 1 121
0.7318 1 121
0.8341 0 121
0.8685 1 121
0.7094 1 121
0.6601 0 121
0.4213 1 121
0.8164 1 121
0.4199 1 121
0.9121 1 121
0.76 1 121
0.7896 1 121
0.8898 1 121
0.6621 1 121
0.544 1 121
0.6568 1 121
0.6587 1 121
0.9591 1 121
0.6857 1 121
0.5078 1 121
0.8809 1 121
0.7323 1 121
0.5229 1 121
0.6161 1 121
1.0032 0 121
0.7482 1 121
0.7773 1 121
0.9261 1 121
0.8784 1 121
0.6872 1 121
0.5206 1 121
0.7263 1 121
0.7391 1 121
0.7164 1 121
0.7478 1 121
0.9673 1 121
0.5233 1 121
0.7854 0 121
0.6904 0 121
0.7909 0 121
0.6488 1 121
0.9183 0 121
0.477 1 121
0.7519 1 121
0.6592 1 121
0.5402 1 121
0.7443 0 121
0.872 1 121
0.6425 1 121
0.901 1 121
0.5494 1 121
0.7109 1 121
1.0076 1 121
0.6434 1 121
0.5858 0 131
0.5036 1 131
0.66 1 131
0.5611 1 131
0.5457 0 131
0.4606 1 131
0.7574 1 131
0.758 0 131
0.5848 1 131
0.5994 1 131
0.7267 0 131
0.715 0 131
0.5065 1 131
0.6516 1 131
0.5537 1 131
0.8126 1 131
0.7052 1 131
0.6761 1 131
0.6537 1 131
0.7093 1 131
0.7464 1 131
0.7354 0 131
0.481 1 131
0.4089 1 131
0.7388 1 131
0.6323 1 131
0.5731 1 131
0.592 1 131
0.5387 1 131
0.7277 0 131
0.6241 0 131
0.7645 1 131
0.5805 1 131
1.0213 0 131
0.7321 1 131
0.8461 1 131
0.7407 1 131
0.751 1 131
0.6557 1 131
0.7334 1 131
0.6751 0 131
0.6267 1 131
0.7594 1 131
0.8292 1 131
1.03 0 131
0.723 1 131
0.9882 1 131
0.4949 1 131
0.5514 1 131
0.733 1 131
0.7609 1 131
0.8021 0 131
0.6448 1 131
0.843 1 131
0.7421 0 131
0.5477 1 211
0.8491 1 211
0.6659 1 211
0.8767 1 211
0.8844 0 211
0.5686 0 211
0.6487 0 211
0.5004 1 211
0.8914 1 211
0.824 1 211
0.751 1 211
0.6631 1 211
0.6565 1 211
0.65 1 211
0.4568 1 211
0.7753 1 211
0.9469 1 211
0.5784 1 211
0.7177 1 211
0.7264 1 211
0.8305 1 211
0.5976 1 211
0.7688 1 211
0.7516 0 211
0.6279 1 211
0.6316 1 211
0.7119 1 211
0.5751 0 211
0.809 1 211
0.4669 0 211
0.6499 0 211
0.6462 1 211
0.8364 1 211
0.8313 1 211
0.592 1 211
0.6409 1 211
0.8133 1 211
0.8027 1 211
0.6774 1 211
0.7252 1 211
1.0662 1 211
0.584 1 211
0.7085 1 211
0.6784 1 211
0.724 1 211
0.7461 1 211
0.5881 1 211
0.6905 1 211
0.8557 1 211
0.7216 1 211
0.5408 1 211
0.5699 1 211
0.5706 1 211
0.6039 1 211
0.5595 1 211
0.7513 0 211
0.7999 1 211
0.5902 1 211
0.6881 1 211
0.696 0 221
0.7933 1 221
0.8048 1 221
0.5754 1 221
0.7413 1 221
0.5254 0 221
0.4779 1 221
0.6753 0 221
0.6978 1 221
0.7171 0 221
0.7639 1 221
0.6251 1 221
0.9316 1 221
0.7332 1 221
0.5814 1 221
0.6342 1 221
0.5921 1 221
0.5583 1 221
0.8051 1 221
0.584 0 221
0.7034 1 221
0.5968 1 221
