Subject,Group,Sex,Yes,Correctanswer,iti.ACC,iti.RT,Label,Shape
2,2,female,j,j,,,Stranger,Stranger
2,2,female,j,j,,,Friend,Friend
2,2,female,j,j,,,Self,Self
2,2,female,j,f,,,Stranger,Friend
2,2,female,j,f,,,Friend,Stranger
2,2,female,j,f,,,Self,Stranger
2,2,female,j,j,,,Friend,Friend
2,2,female,j,f,,,Self,Friend
2,2,female,j,j,,,Self,Self
2,2,female,j,f,,,Stranger,self
2,2,female,j,j,,,Stranger,Stranger
2,2,female,j,f,,,Friend,Self
2,2,female,j,f,1,631,Stranger,self
2,2,female,j,f,1,604,Friend,Stranger
2,2,female,j,f,0,0,Friend,Self
2,2,female,j,f,1,569,Stranger,Friend
2,2,female,j,f,1,575,Self,Stranger
2,2,female,j,j,1,574,Stranger,Stranger
2,2,female,j,j,1,416,Friend,Friend
2,2,female,j,j,0,328,Friend,Friend
2,2,female,j,f,1,568,Self,Friend
2,2,female,j,j,1,437,Self,Self
2,2,female,j,j,1,452,Self,Self
2,2,female,j,j,1,480,Stranger,Stranger
2,2,female,j,f,1,626,Stranger,Friend
2,2,female,j,j,1,311,Friend,Friend
2,2,female,j,f,1,574,Friend,Stranger
2,2,female,j,f,0,484,Self,Friend
2,2,female,j,j,1,560,Stranger,Stranger
2,2,female,j,j,1,511,Stranger,Stranger
2,2,female,j,f,1,459,Stranger,self
2,2,female,j,f,1,669,Self,Stranger
2,2,female,j,j,1,448,Self,Self
2,2,female,j,f,1,583,Friend,Self
2,2,female,j,j,1,713,Friend,Friend
2,2,female,j,j,1,472,Self,Self
2,2,female,j,f,1,484,Self,Stranger
2,2,female,j,f,0,450,Self,Friend
2,2,female,j,j,1,435,Stranger,Stranger
2,2,female,j,j,0,592,Self,Self
2,2,female,j,f,1,642,Friend,Stranger
2,2,female,j,f,1,601,Stranger,Friend
2,2,female,j,j,1,599,Self,Self
2,2,female,j,j,1,530,Friend,Friend
2,2,female,j,f,1,587,Stranger,self
2,2,female,j,j,1,605,Stranger,Stranger
2,2,female,j,j,1,819,Friend,Friend
2,2,female,j,f,1,396,Friend,Self
2,2,female,j,f,0,436,Self,Stranger
2,2,female,j,j,1,422,Friend,Friend
2,2,female,j,f,0,436,Stranger,self
2,2,female,j,j,1,339,Stranger,Stranger
2,2,female,j,j,1,484,Self,Self
2,2,female,j,j,1,499,Friend,Friend
2,2,female,j,j,1,547,Self,Self
2,2,female,j,f,1,683,Friend,Stranger
2,2,female,j,j,1,582,Stranger,Stranger
2,2,female,j,f,0,454,Self,Friend
2,2,female,j,f,1,683,Stranger,Friend
2,2,female,j,f,1,625,Friend,Self
2,2,female,j,j,1,571,Stranger,Stranger
2,2,female,j,f,1,569,Stranger,self
2,2,female,j,f,1,734,Friend,Stranger
2,2,female,j,f,1,515,Self,Stranger
2,2,female,j,f,1,631,Stranger,Friend
2,2,female,j,j,1,699,Stranger,Stranger
2,2,female,j,j,0,599,Friend,Friend
2,2,female,j,j,0,601,Friend,Friend
2,2,female,j,j,1,595,Self,Self
2,2,female,j,f,0,354,Friend,Self
2,2,female,j,j,1,452,Self,Self
2,2,female,j,f,0,494,Self,Friend
2,2,female,j,j,1,497,Friend,Friend
2,2,female,j,f,1,604,Friend,Stranger
2,2,female,j,j,1,488,Friend,Friend
2,2,female,j,j,0,651,Self,Self
2,2,female,j,j,1,631,Stranger,Stranger
2,2,female,j,f,1,703,Friend,Self
2,2,female,j,j,1,388,Self,Self
2,2,female,j,f,1,717,Stranger,self
2,2,female,j,f,1,488,Self,Stranger
2,2,female,j,f,1,587,Stranger,Friend
2,2,female,j,j,0,579,Stranger,Stranger
2,2,female,j,f,0,422,Self,Friend
2,2,female,j,f,1,599,Stranger,Friend
2,2,female,j,j,1,499,Self,Self
2,2,female,j,f,1,563,Friend,Self
2,2,female,j,j,1,594,Stranger,Stranger
2,2,female,j,j,1,520,Stranger,Stranger
2,2,female,j,f,0,0,Self,Friend
2,2,female,j,f,1,640,Stranger,self
2,2,female,j,f,1,543,Self,Stranger
2,2,female,j,f,1,765,Friend,Stranger
2,2,female,j,j,1,475,Friend,Friend
2,2,female,j,j,1,626,Friend,Friend
2,2,female,j,j,1,411,Self,Self
2,2,female,j,f,0,443,Friend,Self
2,2,female,j,f,1,537,Self,Friend
2,2,female,j,f,1,594,Stranger,self
2,2,female,j,f,1,662,Friend,Stranger
2,2,female,j,j,1,852,Self,Self
2,2,female,j,j,1,526,Stranger,Stranger
2,2,female,j,j,1,522,Friend,Friend
2,2,female,j,j,1,399,Friend,Friend
2,2,female,j,f,1,424,Stranger,Friend
2,2,female,j,j,1,395,Self,Self
2,2,female,j,j,1,583,Stranger,Stranger
2,2,female,j,f,1,670,Self,Stranger
2,2,female,j,j,1,483,Self,Self
2,2,female,j,f,1,672,Stranger,Friend
2,2,female,j,j,1,589,Stranger,Stranger
2,2,female,j,f,1,777,Self,Friend
2,2,female,j,f,1,1133,Stranger,self
2,2,female,j,f,1,734,Self,Stranger
2,2,female,j,f,0,505,Friend,Stranger
2,2,female,j,f,0,466,Friend,Self
2,2,female,j,j,1,454,Friend,Friend
2,2,female,j,j,1,496,Self,Self
2,2,female,j,j,1,620,Stranger,Stranger
2,2,female,j,j,1,564,Friend,Friend
2,2,female,j,f,1,472,Self,Friend
2,2,female,j,f,0,446,Stranger,self
2,2,female,j,f,1,575,Self,Stranger
2,2,female,j,j,0,0,Stranger,Stranger
2,2,female,j,j,1,471,Self,Self
2,2,female,j,j,1,417,Friend,Friend
2,2,female,j,f,1,529,Friend,Self
2,2,female,j,j,1,656,Friend,Friend
2,2,female,j,f,1,483,Friend,Stranger
2,2,female,j,f,1,534,Stranger,Friend
2,2,female,j,j,1,428,Stranger,Stranger
2,2,female,j,j,1,575,Self,Self
2,2,female,j,f,1,558,Self,Stranger
2,2,female,j,j,1,452,Stranger,Stranger
2,2,female,j,f,1,565,Stranger,self
2,2,female,j,f,0,538,Friend,Stranger
2,2,female,j,j,1,610,Friend,Friend
2,2,female,j,j,1,391,Self,Self
2,2,female,j,j,1,438,Friend,Friend
2,2,female,j,j,1,423,Self,Self
2,2,female,j,j,1,533,Stranger,Stranger
2,2,female,j,f,1,620,Stranger,Friend
2,2,female,j,f,1,762,Friend,Self
2,2,female,j,f,0,437,Self,Friend
2,2,female,j,j,1,367,Self,Self
2,2,female,j,f,0,374,Self,Friend
2,2,female,j,j,1,542,Friend,Friend
2,2,female,j,f,1,543,Friend,Stranger
2,2,female,j,f,1,789,Stranger,Friend
2,2,female,j,j,1,912,Stranger,Stranger
2,2,female,j,j,1,525,Stranger,Stranger
