type,ICC_type,ICC,LLCI,ULCI,Target,Paper_ID
ICC2,RT,0.060178243,-0.089825337,0.290556252,Stranger,P51E1
ICC2,ACC,0.287606459,0.091479663,0.528066099,Stranger,P51E1
ICC2,d Prime,0.137505798,-0.032881772,0.379162155,Stranger,P51E1
ICC2,Efficiency,0.134158166,-0.035175517,0.375288141,Stranger,P51E1
ICC2,ezDDM v,0.1700614,-0.010160961,0.415885954,Stranger,P51E1
ICC2,ezDDM z,0.277703891,0.082707019,0.519022873,Stranger,P51E1
ICC2,rwDDM v,0.113560623,-0.053164193,0.354592204,Stranger,P51E1
ICC2,rwDDM z,0.051997294,-0.097682186,0.282722962,Stranger,P51E1
ICC2k,RT,0.203901645,-0.491840589,0.620956568,Stranger,P51E1
ICC2k,ACC,0.617572401,0.287121356,0.817377056,Stranger,P51E1
ICC2k,d Prime,0.389392154,-0.145921567,0.709547707,Stranger,P51E1
ICC2k,Efficiency,0.382632742,-0.157301558,0.706137489,Stranger,P51E1
ICC2k,ezDDM v,0.450438827,-0.041921737,0.740123239,Stranger,P51E1
ICC2k,ezDDM z,0.605972664,0.265060888,0.811902925,Stranger,P51E1
ICC2k,rwDDM v,0.338814526,-0.253009988,0.687268577,Stranger,P51E1
ICC2k,rwDDM z,0.179922697,-0.552693742,0.611898543,Stranger,P51E1
