cov,Target,Indice,ICC2,LLCI,ULCI,Type
0,Friend,RT,0.535317461,0.472222694,0.80910405,ICC2
0,Friend,ACC,0.261363117,0.165698818,0.635687944,ICC2
0,Friend,d Prime,0.099964499,0.08423483,0.565414363,ICC2
0,Friend,Efficiency,0.526072882,0.469951193,0.779117438,ICC2
0,Friend,ezDDM v,0.167320331,0.099647688,0.526670743,ICC2
0,Friend,ezDDM z,0.106369033,0.052438072,0.504408325,ICC2
0,Friend,rwDDM v,0.070606312,0.028957531,0.536458799,ICC2
0,Friend,rwDDM z,0.101760986,0.063774849,0.502068183,ICC2
0,Stranger,RT,0.607628272,0.58251151,0.790265682,ICC2
0,Stranger,ACC,0.119426815,0.067697137,0.631154163,ICC2
0,Stranger,d Prime,0.176618246,0.128913365,0.555628933,ICC2
0,Stranger,Efficiency,0.408238396,0.379082919,0.785569388,ICC2
0,Stranger,ezDDM v,0.217222031,0.164518106,0.586090978,ICC2
0,Stranger,ezDDM z,1.43E-15,0,0.407115063,ICC2
0,Stranger,rwDDM v,0.088962309,0.008210223,0.552604398,ICC2
0,Stranger,rwDDM z,0.105419496,0.050596667,0.570773714,ICC2
1,Friend,RT,0.543942682,0.468315117,0.821137114,ICC2
1,Friend,ACC,0.269098771,0.086960832,0.60724254,ICC2
1,Friend,d Prime,0.107102303,0.066633111,0.488035317,ICC2
1,Friend,Efficiency,0.535136184,0.413680555,0.785412691,ICC2
1,Friend,ezDDM v,0.172996494,0.092642788,0.562754133,ICC2
1,Friend,ezDDM z,0.110804786,0.012542679,0.510205212,ICC2
1,Friend,rwDDM v,0.068052517,0.036214398,0.534775144,ICC2
1,Friend,rwDDM z,0.105731765,0.077506355,0.652405857,ICC2
1,Stranger,RT,0.605265417,0.564586602,0.828812,ICC2
1,Stranger,ACC,0.117289695,0,0.566945215,ICC2
1,Stranger,d Prime,0.177968966,0.109592048,0.53985931,ICC2
1,Stranger,Efficiency,0.3997177,0.356239327,0.774706549,ICC2
1,Stranger,ezDDM v,0.219195993,0.118915756,0.616282157,ICC2
1,Stranger,ezDDM z,0,0,0.368875105,ICC2
1,Stranger,rwDDM v,0.095689925,0.044033279,0.48639424,ICC2
1,Stranger,rwDDM z,0.105672053,0.044527823,0.581944904,ICC2
