"Target","Indice","r","LLCI","ULCI","Paper_ID"
"Acquaintance","RT",0.0795872481649516,-0.342399178308396,0.419738898185026,"P54E1"
"Acquaintance","ACC",0.0833114697427277,-0.268583811257005,0.401806481101653,"P54E1"
"Acquaintance","d Prime",-0.146443103240972,-0.41352585178092,0.159082285871094,"P54E1"
"Acquaintance","Efficiency",0.175683396171342,-0.724749242313467,0.715946425031536,"P54E1"
"Acquaintance","ezDDM v",0.15891831354065,-0.102457493492726,0.419885645326312,"P54E1"
"Acquaintance","ezDDM z",-0.0486069080651499,-0.291412265027935,0.243416854638721,"P54E1"
"Acquaintance","rwDDM v",-0.0445593674560937,-0.327039912079446,0.237384032831673,"P54E1"
"Acquaintance","rwDDM z",-0.054265588078169,-0.373180040587537,0.270058045136742,"P54E1"
"Mother","RT",-0.145508546744865,-0.557766718591243,0.258430803247253,"P54E1"
"Mother","ACC",0.16399382121069,-0.181604399282564,0.465062885134697,"P54E1"
"Mother","d Prime",0.024291970041605,-0.258212036129521,0.312401108456082,"P54E1"
"Mother","Efficiency",-0.337314365844942,-0.870021443125224,0.36067532626162,"P54E1"
"Mother","ezDDM v",0.099989760328128,-0.183741680238166,0.382715272160715,"P54E1"
"Mother","ezDDM z",0.28389845313158,0.0414259058943291,0.52699849754224,"P54E1"
"Mother","rwDDM v",0.100975408980288,-0.183998757542713,0.371774309857054,"P54E1"
"Mother","rwDDM z",0.14746571008641,-0.151187827432945,0.4406946734349,"P54E1"
"none","RT",0.0404596677652425,-0.439850926235293,0.411965987494718,"P54E1"
"none","ACC",0.145965883070525,-0.236680402024121,0.48036911991102,"P54E1"
"none","d Prime",-0.218409952826004,-0.477798353360527,0.079379237817822,"P54E1"
"none","Efficiency",0.0900790934960532,-0.61870474205079,0.588357948726914,"P54E1"
"none","ezDDM v",0.182108781348038,-0.06559323559454,0.436313549851315,"P54E1"
"none","ezDDM z",-0.171075322354135,-0.431960474702226,0.0856965916492888,"P54E1"
"none","rwDDM v",0.0817197084744376,-0.235416186950564,0.373142256502415,"P54E1"
"none","rwDDM z",0.0479738570894355,-0.279605150621508,0.365714244005523,"P54E1"
