"Target","Indice","r","LLCI","ULCI","Paper_ID"
"Friend","RT",0.349083769616925,0.0842815820414952,0.599416257786567,"Pn13E4"
"Friend","ACC",0.513202998547119,0.221758286312142,0.742223162658283,"Pn13E4"
"Friend","d Prime",0.194530002082754,-0.0935670520760003,0.497304826653227,"Pn13E4"
"Friend","Efficiency",0.685524995454456,0.467005945924556,0.840903176997999,"Pn13E4"
"Friend","ezDDM v",0.44389493841478,0.197758356112474,0.663789175592714,"Pn13E4"
"Friend","ezDDM z",-0.060886690982442,-0.340508171844616,0.247215315744898,"Pn13E4"
"Friend","rwDDM v",0.44311798119394,0.137538989984298,0.691245562713117,"Pn13E4"
"Friend","rwDDM z",0.0289571744313273,-0.318765995798329,0.378150878336386,"Pn13E4"
"Stranger","RT",0.43667123156608,0.195663089135489,0.664652005265716,"Pn13E4"
"Stranger","ACC",0.135621109657535,-0.185246367583945,0.463353370084527,"Pn13E4"
"Stranger","d Prime",0.0834542582667962,-0.210665942265804,0.393718934679423,"Pn13E4"
"Stranger","Efficiency",0.298469427998831,0.00457863792639841,0.57014349831846,"Pn13E4"
"Stranger","ezDDM v",0.245625534989434,-0.0208630710906527,0.516810587056472,"Pn13E4"
"Stranger","ezDDM z",0.134629540807627,-0.140422141128779,0.420535857692617,"Pn13E4"
"Stranger","rwDDM v",0.0110842788018812,-0.330528258534959,0.359778623958437,"Pn13E4"
"Stranger","rwDDM z",0.0809702335847623,-0.257125087599921,0.424781788196201,"Pn13E4"
