"Target","Indice","Method","r","Paper_ID"
"Acquaintance","RT","First-Second",0.172642794219337,"P54E3"
"Acquaintance","RT","Odd-Even",0.322756812665325,"P54E3"
"Acquaintance","RT","Permuted",0.2491410231281,"P54E3"
"Acquaintance","ACC","First-Second",0.186798745751927,"P54E3"
"Acquaintance","ACC","Odd-Even",0.240999447396004,"P54E3"
"Acquaintance","ACC","Permuted",0.13795509827113,"P54E3"
"Acquaintance","d Prime","First-Second",0.273303892208246,"P54E3"
"Acquaintance","d Prime","Odd-Even",0.186130491145671,"P54E3"
"Acquaintance","d Prime","Permuted",0.341673538252561,"P54E3"
"Acquaintance","Efficiency","First-Second",0.192928323471239,"P54E3"
"Acquaintance","Efficiency","Odd-Even",0.304876786656504,"P54E3"
"Acquaintance","Efficiency","Permuted",0.309971081012689,"P54E3"
"Acquaintance","ezDDM v","First-Second",-0.21246492942798,"P54E3"
"Acquaintance","ezDDM v","First-Second",-0.26673129296882,"P54E3"
"Acquaintance","ezDDM v","Odd-Even",-0.161673390352802,"P54E3"
"Acquaintance","ezDDM z","First-Second",0.0508906968085085,"P54E3"
"Acquaintance","ezDDM z","First-Second",-0.157704165275714,"P54E3"
"Acquaintance","ezDDM z","Odd-Even",0.106469369592196,"P54E3"
"Acquaintance","rwDDM v","First-Second",-0.0378175392692867,"P54E3"
"Acquaintance","rwDDM v","First-Second",-0.156671290751942,"P54E3"
"Acquaintance","rwDDM v","Odd-Even",-0.431194841022292,"P54E3"
"Acquaintance","rwDDM z","First-Second",-0.00679610167398123,"P54E3"
"Acquaintance","rwDDM z","First-Second",-0.30623959319091,"P54E3"
"Acquaintance","rwDDM z","Odd-Even",-0.078670661619677,"P54E3"
"Mother","RT","First-Second",-0.0939294612794405,"P54E3"
"Mother","RT","Odd-Even",0.0193774935480908,"P54E3"
"Mother","RT","Permuted",0.152730207454465,"P54E3"
"Mother","ACC","First-Second",0.0326305232372421,"P54E3"
"Mother","ACC","Odd-Even",-0.0301645383569174,"P54E3"
"Mother","ACC","Permuted",-0.080584913345362,"P54E3"
"Mother","d Prime","First-Second",0.378383747091425,"P54E3"
"Mother","d Prime","Odd-Even",0.359221734322611,"P54E3"
"Mother","d Prime","Permuted",0.283704278919485,"P54E3"
"Mother","Efficiency","First-Second",-0.0150807419099469,"P54E3"
"Mother","Efficiency","Odd-Even",-0.13148480545284,"P54E3"
"Mother","Efficiency","Permuted",-0.0745004744982679,"P54E3"
"Mother","ezDDM v","First-Second",-0.212522507878458,"P54E3"
"Mother","ezDDM v","First-Second",-0.097118592366561,"P54E3"
"Mother","ezDDM v","Odd-Even",-0.401545635833726,"P54E3"
"Mother","ezDDM z","First-Second",-0.306833481889525,"P54E3"
"Mother","ezDDM z","First-Second",-0.202752409085169,"P54E3"
"Mother","ezDDM z","Odd-Even",-0.0174359237666007,"P54E3"
"Mother","rwDDM v","First-Second",-0.446853226252085,"P54E3"
"Mother","rwDDM v","First-Second",0.0806670570793406,"P54E3"
"Mother","rwDDM v","Odd-Even",-0.291627718874356,"P54E3"
"Mother","rwDDM z","First-Second",-0.169468128043317,"P54E3"
"Mother","rwDDM z","First-Second",0.161826642179377,"P54E3"
"Mother","rwDDM z","Odd-Even",0.00400884404029588,"P54E3"
