"Target","Indice","Method","r","Paper_ID"
"Friend","RT","First-Second",0.0223554438658348,"Pn4E1"
"Friend","RT","Odd-Even",0.162377641746941,"Pn4E1"
"Friend","RT","Permuted",0.290124011695979,"Pn4E1"
"Friend","ACC","First-Second",0.362854128083806,"Pn4E1"
"Friend","ACC","Odd-Even",0.22795560878454,"Pn4E1"
"Friend","ACC","Permuted",0.226210415070828,"Pn4E1"
"Friend","d Prime","First-Second",0.355538793780828,"Pn4E1"
"Friend","d Prime","Odd-Even",0.386418491377378,"Pn4E1"
"Friend","d Prime","Permuted",0.219292364282891,"Pn4E1"
"Friend","Efficiency","First-Second",0.108309924581755,"Pn4E1"
"Friend","Efficiency","Odd-Even",-0.00576186978233529,"Pn4E1"
"Friend","Efficiency","Permuted",-0.052790209163445,"Pn4E1"
"Friend","ezDDM v","First-Second",0.195301569514938,"Pn4E1"
"Friend","ezDDM v","First-Second",0.225926860198737,"Pn4E1"
"Friend","ezDDM v","Odd-Even",0.205319628284738,"Pn4E1"
"Friend","ezDDM z","First-Second",0.353554389641595,"Pn4E1"
"Friend","ezDDM z","First-Second",0.338515858332594,"Pn4E1"
"Friend","ezDDM z","Odd-Even",0.332406957639623,"Pn4E1"
"Friend","rwDDM v","First-Second",0.0449796751217932,"Pn4E1"
"Friend","rwDDM v","First-Second",0.308493271989927,"Pn4E1"
"Friend","rwDDM v","Odd-Even",0.0895212019125886,"Pn4E1"
"Friend","rwDDM z","First-Second",0.107057715173057,"Pn4E1"
"Friend","rwDDM z","First-Second",0.0535411562131498,"Pn4E1"
"Friend","rwDDM z","Odd-Even",0.00965239042527074,"Pn4E1"
"Stranger","RT","First-Second",0.569854605875262,"Pn4E1"
"Stranger","RT","Odd-Even",0.501095013930947,"Pn4E1"
"Stranger","RT","Permuted",0.401394350767335,"Pn4E1"
"Stranger","ACC","First-Second",0.184902295164286,"Pn4E1"
"Stranger","ACC","Odd-Even",0.229971832152435,"Pn4E1"
"Stranger","ACC","Permuted",0.383113797030324,"Pn4E1"
"Stranger","d Prime","First-Second",0.117142056463928,"Pn4E1"
"Stranger","d Prime","Odd-Even",0.256888764358747,"Pn4E1"
"Stranger","d Prime","Permuted",0.123186624715989,"Pn4E1"
"Stranger","Efficiency","First-Second",0.181435440729348,"Pn4E1"
"Stranger","Efficiency","Odd-Even",0.15742250796087,"Pn4E1"
"Stranger","Efficiency","Permuted",0.297166085114068,"Pn4E1"
"Stranger","ezDDM v","First-Second",-0.0201985718448472,"Pn4E1"
"Stranger","ezDDM v","First-Second",0.255588715427732,"Pn4E1"
"Stranger","ezDDM v","Odd-Even",0.24369232328141,"Pn4E1"
"Stranger","ezDDM z","First-Second",0.120667500083352,"Pn4E1"
"Stranger","ezDDM z","First-Second",0.335220463407122,"Pn4E1"
"Stranger","ezDDM z","Odd-Even",0.366990152986726,"Pn4E1"
"Stranger","rwDDM v","First-Second",0.0168586199999488,"Pn4E1"
"Stranger","rwDDM v","First-Second",-0.0174558631250472,"Pn4E1"
"Stranger","rwDDM v","Odd-Even",0.167974526029577,"Pn4E1"
"Stranger","rwDDM z","First-Second",0.217098427704115,"Pn4E1"
"Stranger","rwDDM z","First-Second",-0.154243647514676,"Pn4E1"
"Stranger","rwDDM z","Odd-Even",-0.0268966122235499,"Pn4E1"
