"Indice","Method","r","Target","Paper_ID"
"RT","First-Second",0.349394570379939,"Stranger","P6E1"
"RT","Odd-Even",0.344734976323322,"Stranger","P6E1"
"RT","Permuted",0.35725302587708,"Stranger","P6E1"
"ACC","First-Second",0.346124237592974,"Stranger","P6E1"
"ACC","Odd-Even",0.557738238248278,"Stranger","P6E1"
"ACC","Permuted",0.447314299903321,"Stranger","P6E1"
"Dprime","First-Second",0.186855170219081,"Stranger","P6E1"
"Dprime","Odd-Even",0.365357507559492,"Stranger","P6E1"
"Dprime","Permuted",0.344351117258296,"Stranger","P6E1"
"Efficiency","First-Second",0.0558895810492339,"Stranger","P6E1"
"Efficiency","Odd-Even",0.155683536643465,"Stranger","P6E1"
"Efficiency","Permuted",0.228769217358888,"Stranger","P6E1"
"ezDDM: v","First-Second",0.21545552990065,"Stranger","P6E1"
"ezDDM: v","Odd-Even",0.408723390902103,"Stranger","P6E1"
"ezDDM: v","Permuted",0.37285074832268,"Stranger","P6E1"
"ezDDM: z","First-Second",0.285514334581849,"Stranger","P6E1"
"ezDDM: z","Odd-Even",0.557738238248278,"Stranger","P6E1"
"ezDDM: z","Permuted",0.447314299903321,"Stranger","P6E1"
