"Indice","Method","r","Target","Paper_ID"
"RT","First-Second",-0.00251348342660561,"Friend","Pn16E2"
"RT","Odd-Even",0.781719296022752,"Friend","Pn16E2"
"RT","Permuted",0.724635542478166,"Friend","Pn16E2"
"ACC","First-Second",-0.175578251902995,"Friend","Pn16E2"
"ACC","Odd-Even",0.778829831085581,"Friend","Pn16E2"
"ACC","Permuted",0.358304727183301,"Friend","Pn16E2"
"Dprime","First-Second",-0.524163882198276,"Friend","Pn16E2"
"Dprime","Odd-Even",0.477172257087926,"Friend","Pn16E2"
"Dprime","Permuted",0.404777432032101,"Friend","Pn16E2"
"Efficiency","First-Second",-0.265241835367714,"Friend","Pn16E2"
"Efficiency","Odd-Even",0.235938542431029,"Friend","Pn16E2"
"Efficiency","Permuted",0.175606683096733,"Friend","Pn16E2"
"ezDDM: v","First-Second",-0.20891097978803,"Friend","Pn16E2"
"ezDDM: v","Odd-Even",0.75583638394233,"Friend","Pn16E2"
"ezDDM: v","Permuted",0.430360525464851,"Friend","Pn16E2"
"ezDDM: z","First-Second",0.00776513950208815,"Friend","Pn16E2"
"ezDDM: z","Odd-Even",0.0793994443844852,"Friend","Pn16E2"
"ezDDM: z","Permuted",0.125870045807972,"Friend","Pn16E2"
