"Target","Indice","Method","r","Paper_ID"
"Friend","RT","First-Second",-0.0540595640437231,"Pn4E1"
"Friend","RT","Odd-Even",0.11076842496575,"Pn4E1"
"Friend","RT","Permuted",0.21181112416463,"Pn4E1"
"Friend","ACC","First-Second",0.314175812148712,"Pn4E1"
"Friend","ACC","Odd-Even",-0.084116031809414,"Pn4E1"
"Friend","ACC","Permuted",0.223842378032894,"Pn4E1"
"Friend","d Prime","First-Second",0.355538793780828,"Pn4E1"
"Friend","d Prime","Odd-Even",0.386418491377378,"Pn4E1"
"Friend","d Prime","Permuted",-0.0228649292741376,"Pn4E1"
"Friend","Efficiency","First-Second",0.0906871589171573,"Pn4E1"
"Friend","Efficiency","Odd-Even",-0.00576186978233529,"Pn4E1"
"Friend","Efficiency","Permuted",-0.0164122105010054,"Pn4E1"
"Friend","ezDDM v","First-Second",0.19616872273196,"Pn4E1"
"Friend","ezDDM v","Odd-Even",0.205319628284738,"Pn4E1"
"Friend","ezDDM v","Permuted",0.257566235905376,"Pn4E1"
"Friend","ezDDM z","First-Second",0.37393307742923,"Pn4E1"
"Friend","ezDDM z","Odd-Even",0.332406957639623,"Pn4E1"
"Friend","ezDDM z","Permuted",0.267450411967083,"Pn4E1"
"Friend","rwDDM v","First-Second",0.0352818635269757,"Pn4E1"
"Friend","rwDDM v","Odd-Even",0.0844424735009767,"Pn4E1"
"Friend","rwDDM v","Permuted",0.187236677941479,"Pn4E1"
"Friend","rwDDM z","First-Second",0.0777385676885324,"Pn4E1"
"Friend","rwDDM z","Odd-Even",-0.0714616315391571,"Pn4E1"
"Friend","rwDDM z","Permuted",-0.229274226450776,"Pn4E1"
"Stranger","RT","First-Second",0.520248073210907,"Pn4E1"
"Stranger","RT","Odd-Even",0.381061258835705,"Pn4E1"
"Stranger","RT","Permuted",0.187091111900913,"Pn4E1"
"Stranger","ACC","First-Second",0.198352308992978,"Pn4E1"
"Stranger","ACC","Odd-Even",0.232775687769955,"Pn4E1"
"Stranger","ACC","Permuted",0.315346162851922,"Pn4E1"
"Stranger","d Prime","First-Second",0.117142056463928,"Pn4E1"
"Stranger","d Prime","Odd-Even",0.288932735504794,"Pn4E1"
"Stranger","d Prime","Permuted",0.0854488178948654,"Pn4E1"
"Stranger","Efficiency","First-Second",0.183596251395085,"Pn4E1"
"Stranger","Efficiency","Odd-Even",0.0357662130666634,"Pn4E1"
"Stranger","Efficiency","Permuted",0.472369438327035,"Pn4E1"
"Stranger","ezDDM v","First-Second",0.00366073077713348,"Pn4E1"
"Stranger","ezDDM v","Odd-Even",0.26843243314614,"Pn4E1"
"Stranger","ezDDM v","Permuted",0.277437621225155,"Pn4E1"
"Stranger","ezDDM z","First-Second",0.0771595333335537,"Pn4E1"
"Stranger","ezDDM z","Odd-Even",0.368822604812874,"Pn4E1"
"Stranger","ezDDM z","Permuted",0.205218736839346,"Pn4E1"
"Stranger","rwDDM v","First-Second",0.00649934433079703,"Pn4E1"
"Stranger","rwDDM v","Odd-Even",0.190316318031838,"Pn4E1"
"Stranger","rwDDM v","Permuted",0.025451496349055,"Pn4E1"
"Stranger","rwDDM z","First-Second",0.244201720674188,"Pn4E1"
"Stranger","rwDDM z","Odd-Even",-0.0629203053114114,"Pn4E1"
"Stranger","rwDDM z","Permuted",0.0200010274923077,"Pn4E1"
