"Target","Indice","Method","r","Paper_ID"
"Stranger","RT","First-Second",0.711225831550832,"Ps2E1"
"Stranger","RT","Odd-Even",0.772290767941336,"Ps2E1"
"Stranger","ACC","First-Second",0.165297603943687,"Ps2E1"
"Stranger","ACC","Odd-Even",0.523226361272237,"Ps2E1"
"Stranger","d Prime","First-Second",0.240183358391869,"Ps2E1"
"Stranger","d Prime","Odd-Even",0.354788438655957,"Ps2E1"
"Stranger","Efficiency","First-Second",0.454969538301345,"Ps2E1"
"Stranger","Efficiency","Odd-Even",0.748671767372429,"Ps2E1"
"Stranger","ezDDM v","First-Second",0.0527982430749779,"Ps2E1"
"Stranger","ezDDM v","Odd-Even",0.410327812479924,"Ps2E1"
"Stranger","ezDDM z","First-Second",0.201331054257265,"Ps2E1"
"Stranger","ezDDM z","Odd-Even",0.216071549698172,"Ps2E1"
"Stranger","rwDDM v","First-Second",0.00224834383254467,"Ps2E1"
"Stranger","rwDDM v","Odd-Even",0.0863011845699658,"Ps2E1"
"Stranger","rwDDM z","First-Second",0.203899147093575,"Ps2E1"
"Stranger","rwDDM z","Odd-Even",0.278568515466154,"Ps2E1"
