"Target","Indice","Method","r","Paper_ID"
"Friend","RT","First-Second",0.755251373218026,"Pt9E2"
"Friend","RT","Odd-Even",0.763719791212795,"Pt9E2"
"Friend","ACC","First-Second",0.474435966585318,"Pt9E2"
"Friend","ACC","Odd-Even",0.31612513110983,"Pt9E2"
"Friend","d Prime","First-Second",0.378930806539682,"Pt9E2"
"Friend","d Prime","Odd-Even",0.545183277217859,"Pt9E2"
"Friend","Efficiency","First-Second",0.759276915004276,"Pt9E2"
"Friend","Efficiency","Odd-Even",0.642111376631276,"Pt9E2"
"Friend","ezDDM v","First-Second",0.342126920986909,"Pt9E2"
"Friend","ezDDM v","Odd-Even",0.55052904387326,"Pt9E2"
"Friend","ezDDM z","First-Second",-0.0759213093037865,"Pt9E2"
"Friend","ezDDM z","Odd-Even",0.269987938952125,"Pt9E2"
"Friend","rwDDM v","First-Second",0.122879228475759,"Pt9E2"
"Friend","rwDDM v","Odd-Even",0.372322277768005,"Pt9E2"
"Friend","rwDDM z","First-Second",-0.261405544700011,"Pt9E2"
"Friend","rwDDM z","Odd-Even",-0.230208222438827,"Pt9E2"
"None","RT","First-Second",0.597596028907823,"Pt9E2"
"None","RT","Odd-Even",0.494942714767156,"Pt9E2"
"None","ACC","First-Second",0.68380807037213,"Pt9E2"
"None","ACC","Odd-Even",0.755633917895154,"Pt9E2"
"None","d Prime","First-Second",0.306867364190816,"Pt9E2"
"None","d Prime","Odd-Even",0.305995724534844,"Pt9E2"
"None","Efficiency","First-Second",0.97782729122835,"Pt9E2"
"None","Efficiency","Odd-Even",0.982316685326263,"Pt9E2"
"None","ezDDM v","First-Second",0.592146634499212,"Pt9E2"
"None","ezDDM v","Odd-Even",0.732752617353462,"Pt9E2"
"None","ezDDM z","First-Second",0.295828371221721,"Pt9E2"
"None","ezDDM z","Odd-Even",0.185044863375087,"Pt9E2"
"None","rwDDM v","First-Second",0.387940534547733,"Pt9E2"
"None","rwDDM v","Odd-Even",0.584657051388668,"Pt9E2"
"None","rwDDM z","First-Second",0.0320809969110845,"Pt9E2"
"None","rwDDM z","Odd-Even",-0.00954265224351019,"Pt9E2"
