"Target","Indice","r","LLCI","ULCI","Paper_ID"
"Friend","RT",0.637546438711668,0.556823482139925,0.704385261579958,"P19E2"
"Friend","ACC",0.697725368161841,0.593331940334662,0.776417521257541,"P19E2"
"Friend","d Prime",0.423279463704759,0.326108452191121,0.49950593155007,"P19E2"
"Friend","Efficiency",0.851508809025417,0.791647724848956,0.920000456924192,"P19E2"
"Friend","ezDDM v",0.626485178959023,0.471387097222107,0.795957751701749,"P19E2"
"Friend","ezDDM z",0.0804319729203347,-0.0137031395735131,0.196955436339451,"P19E2"
"Friend","rwDDM v",0.260897655757701,0.0498940083648153,0.455588802563883,"P19E2"
"Friend","rwDDM z",0.0919451136273921,-0.160277730824097,0.350978066961181,"P19E2"
"Stranger","RT",0.498846092869846,0.401947616231884,0.577236885958362,"P19E2"
"Stranger","ACC",0.669511550487913,0.532634934724658,0.73421007398804,"P19E2"
"Stranger","d Prime",0.440160002689746,0.32367192876783,0.517581042070943,"P19E2"
"Stranger","Efficiency",0.650026336433353,0.458234584993207,0.766935647749916,"P19E2"
"Stranger","ezDDM v",0.63675765148007,0.540529908758257,0.721527043869834,"P19E2"
"Stranger","ezDDM z",0.126839626136048,0.0337117951639853,0.237531677647216,"P19E2"
"Stranger","rwDDM v",0.373861571507197,0.19753456468507,0.471182463163496,"P19E2"
"Stranger","rwDDM z",0.16421865006808,-0.0816393793612197,0.448565432764499,"P19E2"
